"id","stratum","D-loop"
"403","Mealy_Mountain","403"
"404","Mealy_Mountain","404"
"405","Mealy_Mountain","405"
"406","Mealy_Mountain","406"
"409","Mealy_Mountain","409"
"410","Mealy_Mountain","410"
"417","RedWine","417"
"418","RedWine","418"
"436","Torngat","436"
"443","Torngat","443"
"456","Temiscami","456"
"99.5","Val_d'Or","99.5"
"99.7","Val_d'Or","99.7"
"Albe676a","Chinchaga","Albe676a"
"Albe676b","Chinchaga","Albe676b"
"Albe676c","Chinchaga","Albe676c"
"BluE679a","Bluenose_East","BluE679a"
"BluE679b","Bluenose_East","BluE679b"
"BluE679c","Bluenose_East","BluE679c"
"BluE679e","Bluenose_East","BluE679e"
"BluE679f","Bluenose_East","BluE679f"
"BluE679g","Bluenose_East","BluE679g"
"BluE680a","Bluenose_East","BluE680a"
"BluE680b","Bluenose_East","BluE680b"
"BluE680c","Bluenose_East","BluE680c"
"BW15","Porcupine","BW15"
"BW16","Porcupine","BW16"
"CAH2016","Central_Arctic","CAH2016"
"CenA680","Central_Arctic","CenA680"
"CenA682","Central_Arctic","CenA682"
"CenA683a","Central_Arctic","CenA683a"
"CenA683b","Central_Arctic","CenA683b"
"CenA683c","Central_Arctic","CenA683c"
"CenA684","Central_Arctic","CenA684"
"CenA685a","Central_Arctic","CenA685a"
"CenA685b","Central_Arctic","CenA685b"
"CenA685c","Central_Arctic","CenA685c"
"CenA685d","Central_Arctic","CenA685d"
"CenA686","Central_Arctic","CenA686"
"CenA687","Central_Arctic","CenA687"
"CenA688","Central_Arctic","CenA688"
"CenA690","Central_Arctic","CenA690"
"CenA692","Central_Arctic","CenA692"
"CenA697","Central_Arctic","CenA697"
"CenA698","Central_Arctic","CenA698"
"CenA701","Central_Arctic","CenA701"
"CenA703","Central_Arctic","CenA703"
"CenA711","Central_Arctic","CenA711"
"CenA712","Central_Arctic","CenA712"
"CenA714","Central_Arctic","CenA714"
"CenA715","Central_Arctic","CenA715"
"CenA717","Central_Arctic","CenA717"
"CenA718","Central_Arctic","CenA718"
"CenA721","Central_Arctic","CenA721"
"CenA723","Central_Arctic","CenA723"
"CenA724","Central_Arctic","CenA724"
"CenA728","Central_Arctic","CenA728"
"CenA730","Central_Arctic","CenA730"
"CN45","Columbia-North","CN45"
"DoUn679a","Dolphin-Union","DoUn679a"
"DoUn679b","Dolphin-Union","DoUn679b"
"DoUn679c","Dolphin-Union","DoUn679c"
"DoUn680","Dolphin-Union","DoUn680"
"DoUn691a","Dolphin-Union","DoUn691a"
"DoUn691b","Dolphin-Union","DoUn691b"
"DoUn705","Dolphin-Union","DoUn705"
"DoUn706","Dolphin-Union","DoUn706"
"DoUn720","Dolphin-Union","DoUn720"
"DoUn729","Dolphin-Union","DoUn729"
"Ext001","Kangerlussuaq-Sisimiut","Ext001"
"Ext003","Kangerlussuaq-Sisimiut","Ext003"
"Ext020","Kangerlussuaq-Sisimiut","Ext020"
"Ext021","Kangerlussuaq-Sisimiut","Ext021"
"Ext0482","Teshekpuk","Ext0482"
"Ext0483","Teshekpuk","Ext0483"
"Ext1022","Mealy_Mountain","Ext1022"
"Ext1023","Mealy_Mountain","Ext1023"
"Ext1027","Beverly","Ext1027"
"Ext1028","Beverly","Ext1028"
"Ext1102","Pot_Hill","Ext1102"
"Ext1103","Pot_Hill","Ext1103"
"Ext1124","Gaff_Topsails","Ext1124"
"Ext1139","Besa_Prophet","Ext1139"
"Ext1147","Qamanirjuaq","Ext1147"
"Ext1148","Qamanirjuaq","Ext1148"
"Ext1149","Qamanirjuaq","Ext1149"
"Ext1163","Qamanirjuaq","Ext1163"
"Ext1169","Taimyr","Ext1169"
"Ext1189","Taimyr","Ext1189"
"Ext1193","Taimyr","Ext1193"
"Ext1194","Southampton_Island","Ext1194"
"Ext1195","Southampton_Island","Ext1195"
"Ext1197","Southampton_Island","Ext1197"
"Ext1225","Taimyr","Ext1225"
"Ext1230","Taimyr","Ext1230"
"Ext1235","Taimyr","Ext1235"
"Ext1244","Olenek","Ext1244"
"Ext1245","Olenek","Ext1245"
"Ext1246","Olenek","Ext1246"
"Ext1247","Olenek","Ext1247"
"Ext1276","Caribou_Mountain","Ext1276"
"Ext1284","La_Romaine","Ext1284"
"Ext1285","La_Romaine","Ext1285"
"Ext1309","Bluenose_East","Ext1309"
"Ext1310","Bluenose_East","Ext1310"
"Ext1315","Ahiak-Beverly","Ext1315"
"Ext1317","Ahiak-Beverly","Ext1317"
"Ext1325","Besa_Prophet","Ext1325"
"Ext1326","Besa_Prophet","Ext1326"
"Ext1336","Iceland","Ext1336"
"Ext1338","The_Bog","Ext1338"
"Ext1346","Charron_Lake","Ext1346"
"Ext1347","Charron_Lake","Ext1347"
"Ext1370","Harding_Lake","Ext1370"
"Ext1371","Harding_Lake","Ext1371"
"Ext1386","Naosap_Lake","Ext1386"
"Ext1387","Naosap_Lake","Ext1387"
"Ext1402","Naosap_Lake","Ext1402"
"Ext203","Leaf_River","Ext203"
"Ext204","Leaf_River","Ext204"
"Ext300","George_River","Ext300"
"Ext311","Leaf_River","Ext311"
"Ext326","George_River","Ext326"
"Ext350","Leaf_River","Ext350"
"Ext375","Manicouagan","Ext375"
"Ext376","Manicouagan","Ext376"
"Ext424","Central_Arctic","Ext424"
"Ext508","Iceland","Ext508"
"Ext589","Iceland","Ext589"
"Ext590","Iceland","Ext590"
"Ext654","Bowater","Ext654"
"Ext655","Bowater","Ext655"
"Ext666","Svalbard","Ext666"
"Ext670","Svalbard","Ext670"
"Ext672","Svalbard","Ext672"
"Ext674","Svalbard","Ext674"
"Ext676","Svalbard","Ext676"
"Ext737","South_Nahanni","Ext737"
"Ext739","South_Nahanni","Ext739"
"Ext758","Tay_River","Ext758"
"Ext759","Tay_River","Ext759"
"Ext764","A_La_Peche","Ext764"
"Ext765","A_La_Peche","Ext765"
"Ext769","A_La_Peche","Ext769"
"Ext790","A_La_Peche","Ext790"
"Ext797","A_La_Peche","Ext797"
"Ext802","Narraway","Ext802"
"Ext804","Narraway","Ext804"
"Ext815","Denali","Ext815"
"Ext816","Denali","Ext816"
"Ext824","Denali","Ext824"
"Ext832","Denali","Ext832"
"Ext840","Dolphin-Union","Ext840"
"Ext844","Dolphin-Union","Ext844"
"Ext850","Narraway","Ext850"
"Ext852","Narraway","Ext852"
"Ext854","Chinchaga","Ext854"
"Ext856","Chinchaga","Ext856"
"Ext874","Yamal","Ext874"
"Ext875","Yamal","Ext875"
"Ext876","Lena","Ext876"
"Ext877","Lena","Ext877"
"Ext891","Wrangel","Ext891"
"Ext892","Wrangel","Ext892"
"Ext902","Nenetsky","Ext902"
"Ext903","Nenetsky","Ext903"
"Ext904","Varanger","Ext904"
"Ext923","RedEarth","Ext923"
"Ext927","RedEarth","Ext927"
"Ext933","RedEarth","Ext933"
"Ext936","RedEarth","Ext936"
"Ext939","Caribou_Mountain","Ext939"
"Ext958","Cold_Lake","Ext958"
"Ext964","Cold_Lake","Ext964"
"Ext965","Cold_Lake","Ext965"
"Ext966","Cold_Lake","Ext966"
"Ext967","Cold_Lake","Ext967"
"Ext971","Cold_Lake","Ext971"
"Ext972","Cold_Lake","Ext972"
"Ext974","Cold_Lake","Ext974"
"Ext976","Cold_Lake","Ext976"
"Ext995","Bathurst","Ext995"
"Ext996","Bathurst","Ext996"
"G11","Gaspesie","G11"
"G29","Gaspesie","G29"
"G30","Gaspesie","G30"
"G32","Gaspesie","G32"
"GeoR674a","George_River","GeoR674a"
"GeoR674b","George_River","GeoR674b"
"GeoR674c","George_River","GeoR674c"
"GeoR674d","George_River","GeoR674d"
"GeoR675","George_River","GeoR675"
"GeoR681a","George_River","GeoR681a"
"GeoR681b","George_River","GeoR681b"
"KR_14","Finnmark","KR_14"
"KR_15","Finnmark","KR_15"
"KR_16","Finnmark","KR_16"
"KR_2","Finland","KR_2"
"KR_4551","Snohetta","KR_4551"
"KR_4552","Snohetta","KR_4552"
"KR_4553","Snohetta","KR_4553"
"KR_4555","Snohetta","KR_4555"
"KR_4556","Snohetta","KR_4556"
"KR_54","Hardangervidda","KR_54"
"KR_64","Hardangervidda","KR_64"
"KR_68","Hardangervidda","KR_68"
"KR_76","Finland","KR_76"
"KR_78","Finland","KR_78"
"KR_97","Finland","KR_97"
"LaHa679a","Kimmirut","LaHa679a"
"LaHa679b","Kimmirut","LaHa679b"
"LaHa679c","Kimmirut","LaHa679c"
"LaHa679d","Kimmirut","LaHa679d"
"LaHa679e","Kimmirut","LaHa679e"
"LaHa680a","Kimmirut","LaHa680a"
"LaHa680b","Kimmirut","LaHa680b"
"LaHa680c","Kimmirut","LaHa680c"
"LaHa680d","Kimmirut","LaHa680d"
"LaHa689a","Kimmirut","LaHa689a"
"LaHa689b","Kimmirut","LaHa689b"
"LS1","La_Sarre","LS1"
"LS11","La_Sarre","LS11"
"M11","Manicouagan","M11"
"M13","Manicouagan","M13"
"NAP107986","Northern_Alaska_Peninsula","NAP107986"
"NewF672a","Gaff_Topsails","NewF672a"
"NewF672b","Gaff_Topsails","NewF672b"
"NewF672c","Gaff_Topsails","NewF672c"
"NewF673","Gaff_Topsails","NewF673"
"Per_389","Bathurst_Island","Per_389"
"Per_390","Bathurst_Island","Per_390"
"Per_416","Bathurst_Island","Per_416"
"Per_417","Bathurst_Island","Per_417"
"Per_419","Bathurst_Island","Per_419"
"Per_420","Bathurst_Island","Per_420"
"Per_421","Bathurst_Island","Per_421"
"Porc682a","Porcupine","Porc682a"
"Porc682b","Porcupine","Porc682b"
"Porc682c","Porcupine","Porc682c"
"Porc682d","Porcupine","Porc682d"
"Porc682e","Porcupine","Porc682e"
"Porc683a","Porcupine","Porc683a"
"Porc683b","Porcupine","Porc683b"
"Porc683c","Porcupine","Porc683c"
"Porc684a","Porcupine","Porc684a"
"Porc684b","Porcupine","Porc684b"
"Porc685","Porcupine","Porc685"
"Porc686","Porcupine","Porc686"
"Porc687a","Porcupine","Porc687a"
"Porc687b","Porcupine","Porc687b"
"Porc687c","Porcupine","Porc687c"
"Porc688a","Porcupine","Porc688a"
"Porc688b","Porcupine","Porc688b"
"Porc690","Porcupine","Porc690"
"Porc691","Porcupine","Porc691"
"Porc692","Porcupine","Porc692"
"Porc693","Porcupine","Porc693"
"Porc695","Porcupine","Porc695"
"Porc696a","Porcupine","Porc696a"
"Porc696b","Porcupine","Porc696b"
"Porc697","Porcupine","Porc697"
"Porc699","Porcupine","Porc699"
"Porc707","Porcupine","Porc707"
"Porc709","Porcupine","Porc709"
"Porc710","Porcupine","Porc710"
"Porc713","Porcupine","Porc713"
"Porc722","Porcupine","Porc722"
"RusR122a","Magadan","RusR122a"
"RusR122b","Magadan","RusR122b"
